,solver_name,6399,5035,6199,5044,6408,5493,5040,6411,6405,5036,3774,6200,6406,5492,
0,RealStartlists,178,81,187,158,107,175,117,65,188,118,159,211,118,156,
0,GenGreedy-HighInt,233,100,215,426,186,233,274,51,152,281,236,227,370,230,
0,GenGreedy-LowInt,191,100,215,231,156,203,252,51,152,220,192,227,187,199,
0,GreedyLength-HighInt,225,100,208,425,185,214,273,49,128,281,220,165,369,230,
0,GreedyLength-LowInt,149,100,208,231,141,178,252,49,128,163,192,165,188,194,
0,GreedyRes-HighInt,225,100,208,425,185,214,273,43,128,281,220,165,369,230,
0,GreedyRes-LowInt,149,100,208,231,142,178,252,43,128,155,192,165,188,194,
0,Doubling-HighInt-Full,250,101,309,626,249,314,481,67,213,314,369,270,673,377,
0,Doubling-HighInt-Half,226,98,266,625,202,250,403,49,170,322,338,242,483,298,
0,Doubling-LowInt-Full,171,101,309,331,205,261,282,67,213,237,249,277,222,321,
0,Doubling-LowInt-Half,154,98,266,314,154,222,254,49,170,234,226,243,221,266,
0,ConsProg,92,60,185,157,94,168,123,35,128,117,190,142,112,169,3x
0,ConsProg,92,60,147,157,94,168,115,35,128,117,168,142,112,168,2x
0,ConsProg,92,60,147,157,94,158,115,35,112,117,159,139,112,168,1x
0,ConsProg,92,60,147,157,94,168,115,35,128,117,168,142,112,168,
0,ConsProg,92,60,147,157,94,154,115,35,109,117,159,139,112,154,
0,ConsProg,92,60,147,157,94,158,115,35,109,117,159,139,112,154,
