solver_name,6410_duration,6399_duration,5035_duration,6199_duration,5044_duration,6408_duration,5493_duration,5040_duration,6411_duration,6405_duration,5036_duration,3774_duration,6200_duration,6406_duration,5492_duration
RealStartlists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GenGreedy-HighInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GenGreedy-LowInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GreedyLength-HighInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GreedyLength-LowInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GreedyRes-HighInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GreedyRes-LowInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doubling-HighInt-Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doubling-HighInt-Half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doubling-LowInt-Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doubling-LowInt-Half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ConsProg-1s,1.3,1.4,0.4,1.5,0.5,0.5,1.5,1.3,1.3,1.6,0.4,1.4,1.5,1.0,1.5
ConsProg-10s,10.3,10.4,0.4,10.5,0.5,0.6,10.5,4.5,10.3,10.7,0.5,10.4,10.5,1.1,10.5
ConsProg-1m,60.3,60.4,0.4,14.3,0.5,0.6,60.6,4.3,60.2,60.4,0.5,16.4,43.8,1.1,60.5
ConsProg-10m,600.4,600.4,0.5,15.1,0.5,0.6,600.5,4.7,600.3,209.7,0.5,17.4,47.0,1.1,600.6
ConsProg-1h,3600.3,3600.4,0.4,14.0,0.5,0.6,3600.5,4.4,3600.3,195.4,0.5,16.2,44.1,1.1,1156.2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,# optimal solution,# startlist shorter than in practise used startlists,,,,,,,,,,,,,
ConsProg-1s,5,12,,,,,,,,,,,,,
ConsProg-10s,6,13,,,,,,,,,,,,,
ConsProg-1m,9,14,,,,,,,,,,,,,
ConsProg-10m,10,15,,,,,,,,,,,,,
ConsProg-1h,11,15,,,,,,,,,,,,,
